PRDID,LOCID,CURRID,ZDIVISIONID,ZGROUPKEYID,ZSALESOFFICEID,ZVKORGID,ZVTWEGID,KEYFIGUREDATE,ZNETTO2REVENUE
719095,1050,EUR,01,ZZ0839,1004,1010,01,2023-08-31,-16.0
719095,1050,EUR,01,ZZ0839,1004,1010,01,2023-09-30,672.4
719095,1050,EUR,01,ZZ0841,1004,1010,01,2023-03-31,1403.9999999999998
719095,1050,EUR,01,ZZ0841,1004,1010,01,2023-05-31,1092.0
719095,1050,EUR,01,ZZ0841,1004,1010,01,2023-06-30,1244.9299999999998
719095,1050,EUR,01,ZZ0841,1004,1010,01,2023-07-31,1382.35
719095,1050,EUR,01,ZZ0841,1004,1010,01,2023-08-31,1403.9999999999998
719095,1050,EUR,01,ZZ0841,1004,1010,01,2023-09-30,1403.9999999999998
719095,1050,EUR,01,ZZ0841,1004,1010,01,2023-10-31,1350.7799999999997
719095,1050,EUR,01,ZZ0841,1004,1010,01,2023-11-30,156.0
719095,1050,EUR,01,ZZ0845,1004,1010,01,2023-02-28,132.6
719095,1050,EUR,01,ZZ0845,1004,1010,01,2023-05-31,706.1
719095,1050,EUR,01,ZZ0845,1004,1010,01,2023-08-31,140.82999999999998
719095,1050,EUR,01,ZZ0845,1004,1010,01,2023-09-30,955.3
719095,1050,EUR,01,ZZ0845,1004,1010,01,2023-10-31,156.0
719095,1050,EUR,01,ZZ0861,1004,1010,01,2023-02-28,1326.0
719095,1050,EUR,01,ZZ0861,1004,1010,01,2023-06-30,312.0
719095,1050,EUR,01,ZZ0861,1004,1010,01,2023-07-31,-9.85
719095,1050,EUR,01,ZZ0861,1004,1010,01,2023-10-31,148.2
719095,2071,EUR,01,99999999_Dummy,9002,1000,01,2023-01-31,58.4
719095,2071,EUR,01,99999999_Dummy,9002,1000,01,2023-02-28,175.2
719095,2071,EUR,01,99999999_Dummy,9002,1000,01,2023-03-31,116.78999999999999
719095,2071,EUR,01,99999999_Dummy,9002,1000,01,2023-04-30,280.3
719095,2071,EUR,01,99999999_Dummy,9002,1000,01,2023-05-31,280.3
719095,2071,EUR,01,99999999_Dummy,9002,1000,01,2023-06-30,175.2
719095,2071,EUR,01,99999999_Dummy,9002,1000,01,2023-07-31,397.12
719095,2071,EUR,01,99999999_Dummy,9002,1000,01,2023-08-31,169.35
719095,2071,EUR,01,99999999_Dummy,9002,1000,01,2023-09-30,110.94999999999999
719095,2071,EUR,01,99999999_Dummy,9002,1000,01,2023-10-31,58.4
719095,2071,EUR,01,ZZ0573,9002,1000,01,2023-05-31,52.55
719095,2071,EUR,01,ZZ0573,9002,1000,01,2023-07-31,51.4
719095,2071,EUR,01,ZZ0573,9002,1000,01,2023-10-31,52.55
719095,99999999_Dummy,EUR,01,99999999_Dummy,4000,1000,01,2021-03-31,95.45
719095,99999999_Dummy,EUR,01,99999999_Dummy,4000,1000,01,2021-06-30,71.59
