PRDID;LOCID;KEYFIGUREDATE;ZDIVISIONID;ZGROUPKEYID;ZSALESOFFICEID;ZVKORGID;ZVTWEGID;ZACTUALPROMOTIONQTY;ZACTUALSALES;ZADJUSTEDSALESQTY;ZADJUSTEDSALESQTYINCLPRED;ZSTATISTICALEXPOSTFORECASTQTY;ZSTATISTICALFORECASTQTY;ZOUTLIERCORRECTIONTHRESHHOLD;ZOUTLIERCORRECTIONMARKER;ZACTUALSSALESADJ;ZDISAGGFACTOR;ZGROWTHFACTOR;ZSALESFORECAST;ZNEWPRODUCTFORECAST
898589;1050;2023-07-05;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-07-06;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-07-11;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-07-12;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-07-14;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-07-19;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-07-21;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-07-28;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-07-31;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-08-02;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-08-03;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-08-04;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-08-07;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-08-08;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-08-09;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-08-15;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-08-16;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-08-17;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-08-22;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-08-23;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-08-28;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-08-29;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-08-30;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-09-01;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-09-05;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-09-06;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-09-08;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-09-11;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-09-12;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-09-13;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-09-14;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-09-15;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-09-19;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-09-20;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-09-25;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-09-26;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-10-04;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-10-06;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-10-09;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-10-12;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-10-13;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-10-18;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-10-19;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-10-20;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-10-23;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-10-25;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-10-26;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-10-27;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-01;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-02;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-03;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-06;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-08;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-09;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-10;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-14;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-15;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-17;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-21;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-22;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-23;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-24;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-11-29;01;ZZ0072;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-01-13;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-01-18;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-01-19;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-01-20;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
898589;1050;2023-01-25;01;ZZ0074;2002;1070;01;;0;;;;;;;;;;;
