PRDID,LOCID,ZDIVISIONID,ZGROUPKEYID,ZSALESOFFICEID,ZVKORGID,ZVTWEGID,KEYFIGUREDATE,ZACTUALSALES
719095,99999999_Dummy,01,ZZ0044,1004,1010,01,2022-07-31,18.704
719095,99999999_Dummy,01,ZZ0044,1004,1010,01,2022-11-30,0.0
719095,99999999_Dummy,01,ZZ0044,1004,1010,01,2022-12-31,0.0
719095,99999999_Dummy,01,ZZ0085,1004,1010,01,2021-03-31,9.352
719095,99999999_Dummy,01,ZZ0085,1004,1010,01,2021-06-30,9.352
719095,99999999_Dummy,01,ZZ0085,1004,1010,01,2021-08-31,18.704
719095,99999999_Dummy,01,ZZ0085,1004,1010,01,2021-09-30,9.352
719095,99999999_Dummy,01,ZZ0085,1004,1010,01,2021-10-31,9.352
719095,99999999_Dummy,01,ZZ0085,1004,1010,01,2022-01-31,18.704
719095,99999999_Dummy,01,ZZ0127,1004,1010,01,2021-01-31,18.704
719095,99999999_Dummy,01,ZZ0127,1004,1010,01,2021-02-28,140.28
719095,99999999_Dummy,01,ZZ0127,1004,1010,01,2021-04-30,0.0
719095,99999999_Dummy,01,ZZ0127,1004,1010,01,2021-06-30,0.0
719095,99999999_Dummy,01,ZZ0127,1004,1010,01,2021-07-31,56.112
719095,99999999_Dummy,01,ZZ0127,1004,1010,01,2021-08-31,18.704
719095,99999999_Dummy,01,ZZ0127,1004,1010,01,2021-09-30,56.112
719095,99999999_Dummy,01,ZZ0127,1004,1010,01,2021-10-31,18.704
719095,99999999_Dummy,01,ZZ0127,1004,1010,01,2021-11-30,0.0
719095,99999999_Dummy,01,ZZ0127,1004,1010,01,2021-12-31,28.056
719095,99999999_Dummy,01,ZZ0127,1004,1010,01,2022-01-31,56.112
719095,99999999_Dummy,01,ZZ0127,1004,1010,01,2022-02-28,140.28
719095,99999999_Dummy,01,ZZ0127,1004,1010,01,2022-03-31,0.0
719095,99999999_Dummy,01,ZZ0127,1004,1010,01,2022-04-30,0.0
719095,99999999_Dummy,01,ZZ0127,1004,1010,01,2022-05-31,0.0
719095,99999999_Dummy,01,ZZ0127,1004,1010,01,2022-06-30,93.52
719095,99999999_Dummy,01,ZZ0127,1004,1010,01,2022-07-31,65.464
719095,99999999_Dummy,01,ZZ0127,1004,1010,01,2022-08-31,37.408
719095,99999999_Dummy,01,ZZ0127,1004,1010,01,2022-09-30,28.056
719095,99999999_Dummy,01,ZZ0127,1004,1010,01,2022-10-31,18.704
719095,99999999_Dummy,01,ZZ0127,99999999_Dummy,1010,01,2023-05-31,0.0
719095,99999999_Dummy,01,ZZ0127,99999999_Dummy,1010,01,2023-09-30,0.0
719095,99999999_Dummy,01,ZZ0164,99999999_Dummy,1010,01,2023-10-31,0.0
719095,99999999_Dummy,01,ZZ0200,1004,1010,01,2021-01-31,56.112
719095,99999999_Dummy,01,ZZ0200,1004,1010,01,2021-02-28,93.52
719095,99999999_Dummy,01,ZZ0200,1004,1010,01,2021-03-31,46.76
719095,99999999_Dummy,01,ZZ0200,1004,1010,01,2021-04-30,112.224
719095,99999999_Dummy,01,ZZ0200,1004,1010,01,2021-05-31,74.816
719095,99999999_Dummy,01,ZZ0200,1004,1010,01,2021-06-30,233.8
719095,99999999_Dummy,01,ZZ0200,1004,1010,01,2021-07-31,93.52
719095,99999999_Dummy,01,ZZ0200,1004,1010,01,2021-08-31,84.168
719095,99999999_Dummy,01,ZZ0200,1004,1010,01,2021-09-30,112.224
719095,99999999_Dummy,01,ZZ0200,1004,1010,01,2021-10-31,0.0
719095,99999999_Dummy,01,ZZ0200,1004,1010,01,2021-11-30,0.0
719095,99999999_Dummy,01,ZZ0200,1004,1010,01,2021-12-31,0.0
719095,99999999_Dummy,01,ZZ0200,1004,1010,01,2022-01-31,28.056
719095,99999999_Dummy,01,ZZ0200,1004,1010,01,2022-02-28,177.688
719095,99999999_Dummy,01,ZZ0200,1004,1010,01,2022-03-31,18.704
719095,99999999_Dummy,01,ZZ0200,1004,1010,01,2022-04-30,28.056
719095,99999999_Dummy,01,ZZ0200,1004,1010,01,2022-05-31,65.464
719095,99999999_Dummy,01,ZZ0200,1004,1010,01,2022-06-30,130.928
719095,99999999_Dummy,01,ZZ0200,1004,1010,01,2022-07-31,102.872
719095,99999999_Dummy,01,ZZ0200,1004,1010,01,2022-08-31,37.408
719095,99999999_Dummy,01,ZZ0200,1004,1010,01,2022-09-30,28.056
719095,99999999_Dummy,01,ZZ0200,1004,1010,01,2022-10-31,65.464
719095,99999999_Dummy,01,ZZ0200,1004,1010,01,2022-11-30,9.352
719095,99999999_Dummy,01,ZZ0200,1004,1010,01,2022-12-31,0.0
719095,99999999_Dummy,01,ZZ0200,99999999_Dummy,1010,01,2023-05-31,0.0
719095,99999999_Dummy,01,ZZ0200,99999999_Dummy,1010,01,2023-09-30,0.0
719095,99999999_Dummy,01,ZZ0209,1004,1010,01,2021-03-31,9.352
719095,99999999_Dummy,01,ZZ0209,1004,1010,01,2021-04-30,9.352
719095,99999999_Dummy,01,ZZ0209,1004,1010,01,2021-05-31,9.352
719095,99999999_Dummy,01,ZZ0209,1004,1010,01,2021-07-31,9.352
719095,99999999_Dummy,01,ZZ0209,1004,1010,01,2021-10-31,9.352
719095,99999999_Dummy,01,ZZ0209,1004,1010,01,2022-03-31,9.352
719095,99999999_Dummy,01,ZZ0209,1004,1010,01,2022-05-31,18.704
719095,99999999_Dummy,01,ZZ0209,1004,1010,01,2022-08-31,9.352
719095,99999999_Dummy,01,ZZ0209,1004,1010,01,2022-10-31,9.352
719095,99999999_Dummy,01,ZZ0216,1004,1010,01,2021-02-28,93.52
719095,99999999_Dummy,01,ZZ0216,1004,1010,01,2021-06-30,9.352
719095,99999999_Dummy,01,ZZ0216,1004,1010,01,2021-07-31,28.056
719095,99999999_Dummy,01,ZZ0216,1004,1010,01,2021-08-31,18.704
719095,99999999_Dummy,01,ZZ0216,1004,1010,01,2021-09-30,28.056
719095,99999999_Dummy,01,ZZ0216,1004,1010,01,2021-12-31,9.352
719095,99999999_Dummy,01,ZZ0216,1004,1010,01,2022-02-28,168.336
719095,99999999_Dummy,01,ZZ0216,1004,1010,01,2022-07-31,46.76
719095,99999999_Dummy,01,ZZ0216,1004,1010,01,2022-10-31,18.704
719095,99999999_Dummy,01,ZZ0216,1004,1010,01,2022-11-30,9.352
719095,99999999_Dummy,01,ZZ0216,99999999_Dummy,1010,01,2023-05-31,0.0
719095,99999999_Dummy,01,ZZ0216,99999999_Dummy,1010,01,2023-06-30,0.0
719095,99999999_Dummy,01,ZZ0216,99999999_Dummy,1010,01,2023-09-30,0.0
719095,99999999_Dummy,01,ZZ0246,1004,1010,01,2021-01-31,140.28
719095,99999999_Dummy,01,ZZ0246,1004,1010,01,2021-06-30,0.0
719095,99999999_Dummy,01,ZZ0246,1004,1010,01,2021-12-31,0.0
719095,99999999_Dummy,01,ZZ0246,99999999_Dummy,1010,01,2023-05-31,0.0
719095,99999999_Dummy,01,ZZ0246,99999999_Dummy,1010,01,2023-06-30,0.0
719095,99999999_Dummy,01,ZZ0246,99999999_Dummy,1010,01,2023-09-30,0.0
719095,99999999_Dummy,01,ZZ0246,99999999_Dummy,1010,01,2023-11-30,0.0
719095,99999999_Dummy,01,ZZ0248,1004,1010,01,2021-01-31,448.896
719095,99999999_Dummy,01,ZZ0248,1004,1010,01,2021-03-31,28.056
719095,99999999_Dummy,01,ZZ0248,1004,1010,01,2021-06-30,93.52
719095,99999999_Dummy,01,ZZ0248,1004,1010,01,2021-07-31,158.984
719095,99999999_Dummy,01,ZZ0248,1004,1010,01,2021-08-31,84.168
719095,99999999_Dummy,01,ZZ0248,1004,1010,01,2021-09-30,149.632
719095,99999999_Dummy,01,ZZ0248,1004,1010,01,2021-10-31,18.704
719095,99999999_Dummy,01,ZZ0248,1004,1010,01,2021-11-30,37.408
719095,99999999_Dummy,01,ZZ0248,1004,1010,01,2021-12-31,7.014
719095,99999999_Dummy,01,ZZ0248,1004,1010,01,2022-01-31,9.352
719095,99999999_Dummy,01,ZZ0248,1004,1010,01,2022-02-28,469.938
719095,99999999_Dummy,01,ZZ0248,1004,1010,01,2022-06-30,0.0
719095,99999999_Dummy,01,ZZ0248,1004,1010,01,2022-07-31,280.56
719095,99999999_Dummy,01,ZZ0248,1004,1010,01,2022-08-31,0.0
719095,99999999_Dummy,01,ZZ0248,1004,1010,01,2022-09-30,0.0
719095,99999999_Dummy,01,ZZ0248,1004,1010,01,2022-10-31,280.56
719095,99999999_Dummy,01,ZZ0248,1004,1010,01,2022-11-30,0.0
719095,99999999_Dummy,01,ZZ0248,99999999_Dummy,1010,01,2023-05-31,0.0
719095,99999999_Dummy,01,ZZ0248,99999999_Dummy,1010,01,2023-09-30,0.0
719095,99999999_Dummy,01,ZZ0249,1004,1010,01,2021-01-31,56.112
719095,99999999_Dummy,01,ZZ0249,1004,1010,01,2021-02-28,0.0
719095,99999999_Dummy,01,ZZ0249,1004,1010,01,2021-03-31,0.0
719095,99999999_Dummy,01,ZZ0249,1004,1010,01,2021-04-30,9.352
719095,99999999_Dummy,01,ZZ0249,1004,1010,01,2021-05-31,0.0
719095,99999999_Dummy,01,ZZ0249,1004,1010,01,2021-06-30,9.352
719095,99999999_Dummy,01,ZZ0249,1004,1010,01,2021-07-31,9.352
719095,99999999_Dummy,01,ZZ0249,1004,1010,01,2021-08-31,9.352
719095,99999999_Dummy,01,ZZ0249,1004,1010,01,2021-09-30,0.0
719095,99999999_Dummy,01,ZZ0249,1004,1010,01,2021-10-31,0.0
719095,99999999_Dummy,01,ZZ0249,1004,1010,01,2021-12-31,0.0
719095,99999999_Dummy,01,ZZ0249,1004,1010,01,2022-01-31,9.352
719095,99999999_Dummy,01,ZZ0249,1004,1010,01,2022-04-30,0.0
719095,99999999_Dummy,01,ZZ0249,1004,1010,01,2022-06-30,0.0
719095,99999999_Dummy,01,ZZ0249,1004,1010,01,2022-07-31,9.352
719095,99999999_Dummy,01,ZZ0249,1004,1010,01,2022-08-31,0.0
719095,99999999_Dummy,01,ZZ0249,1004,1010,01,2022-10-31,9.352
719095,99999999_Dummy,01,ZZ0249,1004,1010,01,2022-11-30,0.0
719095,99999999_Dummy,01,ZZ0249,1004,1010,01,2022-12-31,0.0
719095,99999999_Dummy,01,ZZ0249,99999999_Dummy,1010,01,2023-05-31,0.0
719095,99999999_Dummy,01,ZZ0249,99999999_Dummy,1010,01,2023-09-30,0.0
719095,99999999_Dummy,01,ZZ0250,1004,1010,01,2021-02-28,280.56
719095,99999999_Dummy,01,ZZ0250,1004,1010,01,2021-04-30,0.0
719095,99999999_Dummy,01,ZZ0250,1004,1010,01,2021-05-31,0.0
719095,99999999_Dummy,01,ZZ0250,1004,1010,01,2021-06-30,280.56
719095,99999999_Dummy,01,ZZ0250,1004,1010,01,2021-07-31,0.0
719095,99999999_Dummy,01,ZZ0250,1004,1010,01,2021-08-31,280.56
719095,99999999_Dummy,01,ZZ0250,1004,1010,01,2021-10-31,280.56
719095,99999999_Dummy,01,ZZ0250,1004,1010,01,2021-12-31,0.0
719095,99999999_Dummy,01,ZZ0250,1004,1010,01,2022-02-28,280.56
719095,99999999_Dummy,01,ZZ0250,1004,1010,01,2022-04-30,0.0
719095,99999999_Dummy,01,ZZ0250,1004,1010,01,2022-06-30,0.0
719095,99999999_Dummy,01,ZZ0250,1004,1010,01,2022-08-31,280.56
719095,99999999_Dummy,01,ZZ0250,1004,1010,01,2022-10-31,0.0
719095,99999999_Dummy,01,ZZ0250,99999999_Dummy,1010,01,2023-05-31,0.0
719095,99999999_Dummy,01,ZZ0250,99999999_Dummy,1010,01,2023-09-30,0.0
719095,99999999_Dummy,01,ZZ0290,1009,1030,01,2021-02-28,18.704
719095,99999999_Dummy,01,ZZ0290,1009,1030,01,2021-04-30,18.704
719095,99999999_Dummy,01,ZZ0290,1009,1030,01,2022-04-30,18.704
719095,99999999_Dummy,01,ZZ0290,99999999_Dummy,1030,01,2023-05-31,0.0
719095,99999999_Dummy,01,ZZ0317,1004,1010,01,2021-03-31,46.76
719095,99999999_Dummy,01,ZZ0317,1004,1010,01,2021-04-30,299.264
719095,99999999_Dummy,01,ZZ0317,1004,1010,01,2021-05-31,37.408
719095,99999999_Dummy,01,ZZ0317,1004,1010,01,2021-06-30,28.056
719095,99999999_Dummy,01,ZZ0317,1004,1010,01,2021-07-31,37.408
719095,99999999_Dummy,01,ZZ0317,1004,1010,01,2021-08-31,37.408
719095,99999999_Dummy,01,ZZ0317,1004,1010,01,2021-10-31,37.408
719095,99999999_Dummy,01,ZZ0317,1004,1010,01,2021-12-31,9.352
719095,99999999_Dummy,01,ZZ0317,1004,1010,01,2022-02-28,18.704
719095,99999999_Dummy,01,ZZ0317,1004,1010,01,2022-04-30,74.816
719095,99999999_Dummy,01,ZZ0317,1004,1010,01,2022-05-31,56.112
719095,99999999_Dummy,01,ZZ0317,1004,1010,01,2022-06-30,56.112
719095,99999999_Dummy,01,ZZ0317,1004,1010,01,2022-07-31,84.168
719095,99999999_Dummy,01,ZZ0317,1004,1010,01,2022-08-31,112.224
719095,99999999_Dummy,01,ZZ0317,1004,1010,01,2022-09-30,28.056
719095,99999999_Dummy,01,ZZ0317,1004,1010,01,2022-10-31,65.464
719095,99999999_Dummy,01,ZZ0317,1004,1010,01,2022-11-30,0.0
719095,99999999_Dummy,01,ZZ0317,1004,1010,01,2022-12-31,9.352
719095,99999999_Dummy,01,ZZ0317,99999999_Dummy,1010,01,2023-05-31,0.0
719095,99999999_Dummy,01,ZZ0317,99999999_Dummy,1010,01,2023-09-30,0.0
719095,99999999_Dummy,01,ZZ0418,1004,1010,01,2021-07-31,18.704
719095,99999999_Dummy,01,ZZ0418,1004,1010,01,2021-08-31,37.408
719095,99999999_Dummy,01,ZZ0418,1004,1010,01,2021-10-31,9.352
719095,99999999_Dummy,01,ZZ0418,1004,1010,01,2021-11-30,37.408
719095,99999999_Dummy,01,ZZ0418,1004,1010,01,2021-12-31,0.0
719095,99999999_Dummy,01,ZZ0418,1004,1010,01,2022-01-31,9.352
719095,99999999_Dummy,01,ZZ0418,1004,1010,01,2022-03-31,18.704
719095,99999999_Dummy,01,ZZ0418,1004,1010,01,2022-04-30,18.704
719095,99999999_Dummy,01,ZZ0418,1004,1010,01,2022-05-31,28.056
719095,99999999_Dummy,01,ZZ0418,1004,1010,01,2022-07-31,18.704
719095,99999999_Dummy,01,ZZ0418,1004,1010,01,2022-09-30,18.704
719095,99999999_Dummy,01,ZZ0418,1004,1010,01,2022-10-31,9.352
719095,99999999_Dummy,01,ZZ0418,1004,1010,01,2022-11-30,0.0
719095,99999999_Dummy,01,ZZ0418,1004,1010,01,2022-12-31,0.0
719095,99999999_Dummy,01,ZZ0418,99999999_Dummy,1010,01,2023-05-31,0.0
719095,99999999_Dummy,01,ZZ0418,99999999_Dummy,1010,01,2023-06-30,0.0
719095,99999999_Dummy,01,ZZ0418,99999999_Dummy,1010,01,2023-12-31,0.0
719095,99999999_Dummy,01,ZZ0429,1004,1010,01,2021-06-30,18.704
719095,99999999_Dummy,01,ZZ0429,1004,1010,01,2021-08-31,9.352
719095,99999999_Dummy,01,ZZ0429,1004,1010,01,2021-10-31,9.352
719095,99999999_Dummy,01,ZZ0429,1004,1010,01,2021-12-31,0.0
719095,99999999_Dummy,01,ZZ0429,1004,1010,01,2022-02-28,18.704
719095,99999999_Dummy,01,ZZ0429,1004,1010,01,2022-03-31,0.0
719095,99999999_Dummy,01,ZZ0429,1004,1010,01,2022-07-31,9.352
719095,99999999_Dummy,01,ZZ0429,1004,1010,01,2022-11-30,0.0
719095,99999999_Dummy,01,ZZ0429,1004,1010,01,2022-12-31,0.0
719095,99999999_Dummy,01,ZZ0430,1004,1010,01,2021-02-28,121.576
719095,99999999_Dummy,01,ZZ0430,1004,1010,01,2021-03-31,0.0
719095,99999999_Dummy,01,ZZ0430,1004,1010,01,2021-06-30,46.76
719095,99999999_Dummy,01,ZZ0430,1004,1010,01,2021-08-31,130.928
719095,99999999_Dummy,01,ZZ0430,1004,1010,01,2021-10-31,0.0
719095,99999999_Dummy,01,ZZ0430,1004,1010,01,2021-12-31,0.0
719095,99999999_Dummy,01,ZZ0430,1004,1010,01,2022-02-28,149.632
719095,99999999_Dummy,01,ZZ0430,1004,1010,01,2022-09-30,56.112
719095,99999999_Dummy,01,ZZ0430,1004,1010,01,2022-11-30,0.0
719095,99999999_Dummy,01,ZZ0430,1004,1010,01,2022-12-31,0.0
719095,99999999_Dummy,01,ZZ0430,99999999_Dummy,1010,01,2023-05-31,0.0
719095,99999999_Dummy,01,ZZ0430,99999999_Dummy,1010,01,2023-06-30,0.0
719095,99999999_Dummy,01,ZZ0443,1004,1010,01,2022-10-31,28.056
719095,99999999_Dummy,01,ZZ0468,1004,1010,01,2021-04-30,18.704
719095,99999999_Dummy,01,ZZ0468,1004,1010,01,2021-05-31,18.704
