,ticker,model,BIAS_abs,BIAS_rel,MAPE,MAE_abs,MAE_rel,RMSE_abs,RMSE_rel,MSE
0,Mexico // Beer // Ale  // Juarez // Fancy Beer Ale 330 ml,simple_ex_smoothing,42706.08689512411,0.026984206436333185,0.17312127506967712,263157.9686197119,0.16627861428838034,300314.89041561505,0.1897565332731285,90189033405.34288
0,Mexico // Beer // Ale  // Juarez // Fancy Beer Ale 330 ml,moving_average,17350.087719298244,0.010839959848013997,0.1734348082910015,267453.09356725146,0.16709891283554842,299556.95150611905,0.18715670946769974,89734367195.63936
0,Mexico // Beer // Ale  // Juarez // Fancy Beer Ale 500 ml,simple_ex_smoothing,58734.12632402592,0.02961740275281147,0.1712009591903784,325248.740867749,0.16401066221673627,376599.8301629496,0.18990507809790697,141827432078.7625
0,Mexico // Beer // Ale  // Juarez // Fancy Beer Ale 500 ml,moving_average,24115.567251461984,0.012021925175685474,0.17580908421639543,339153.83625730994,0.16907261604161028,376903.5149822933,0.18789132382093499,142056259606.0078
0,Mexico // Beer // Ale  // Leon de los Aldama // Fancy Beer Ale 1 pint,simple_ex_smoothing,69437.89517975548,0.0297853488511277,0.1771540984159273,394112.7123159147,0.16905444199604827,451235.90839210415,0.1935574071020056,203613845022.44742
0,Mexico // Beer // Ale  // Leon de los Aldama // Fancy Beer Ale 1 pint,moving_average,26658.82456140347,0.011308935116512932,0.1792155668289147,404651.350877193,0.17165707592767804,448585.91112424777,0.19029454773601173,201229319659.17154
0,Mexico // Beer // Ale  // Leon de los Aldama // Fancy Beer Ale 330 ml,simple_ex_smoothing,29848.066504625178,0.030346337420382088,0.1773343895887121,167570.02810159774,0.17036737081532613,191840.54855249694,0.19504305300255062,36802796068.922935
0,Mexico // Beer // Ale  // Leon de los Aldama // Fancy Beer Ale 330 ml,moving_average,12355.690058479524,0.012408979003752128,0.18013428974517431,172846.00584795323,0.17359147464027685,190956.92133366107,0.1917805008247467,36464545805.23003
0,Mexico // Beer // Ale  // Leon de los Aldama // Fancy Beer Ale 500 ml,simple_ex_smoothing,38692.307621790496,0.03158088969383507,0.17884681874434427,209830.13902713163,0.17126459708301245,240554.35190051707,0.1963418808462028,57866396218.277794
0,Mexico // Beer // Ale  // Leon de los Aldama // Fancy Beer Ale 500 ml,moving_average,15763.555555555557,0.012721155880710575,0.1804565586457858,214899.57894736843,0.1734235041614757,238396.16864101938,0.19238520218097413,56832733222.717354
0,Mexico // Beer // Ale  // Mexico City // Fancy Beer Ale 1 pint,simple_ex_smoothing,83453.10119020098,0.03000039488986515,0.17275232561468448,460381.21107324364,0.16550155638426317,529362.276526046,0.1902994269725727,280224419808.838
0,Mexico // Beer // Ale  // Mexico City // Fancy Beer Ale 1 pint,moving_average,31980.6432748538,0.011370055855379377,0.17419119570517874,471835.73099415214,0.16775142919609687,525046.0918257494,0.18666927176544454,275673398541.4932
0,Mexico // Beer // Ale  // Mexico City // Fancy Beer Ale 330 ml,simple_ex_smoothing,36223.55280400915,0.03109333579569938,0.17303614384448623,191283.18999495378,0.16419241068831297,224965.08372442806,0.19310405382922802,50609288895.13893
0,Mexico // Beer // Ale  // Mexico City // Fancy Beer Ale 330 ml,moving_average,15360.742690058463,0.013020529561194816,0.17865558596130676,201066.3216374269,0.17043381543883265,224771.88077182107,0.19052782649689146,50522398385.70175
0,Mexico // Beer // Ale  // Mexico City // Fancy Beer Ale 500 ml,simple_ex_smoothing,44752.315340944275,0.030612587784141766,0.1766731328643799,246416.58191742597,0.16855997701897218,285855.5456290071,0.19553799434697763,81713392966.85738
0,Mexico // Beer // Ale  // Mexico City // Fancy Beer Ale 500 ml,moving_average,16141.385964912291,0.010918991382501334,0.17857745081578466,253688.05263157896,0.17160965400053904,284851.2050166347,0.19269025966127162,81140208999.42885
0,Mexico // Beer // Ale  // Monterrey // Fancy Beer Ale 1 pint,simple_ex_smoothing,96169.15741124417,0.029874985426487123,0.16707331501489397,517562.96949921164,0.1607811338614317,598800.5724622018,0.1860176262040205,358562125581.0606
0,Mexico // Beer // Ale  // Monterrey // Fancy Beer Ale 1 pint,moving_average,40743.78947368422,0.012511691750001231,0.17162468675619713,536921.4035087719,0.16487899582876803,597529.3175909168,0.18349060629509772,357041285380.6667
0,Mexico // Beer // Ale  // Monterrey // Fancy Beer Ale 330 ml,simple_ex_smoothing,41043.55255078843,0.030203238950101446,0.17361240529433972,223781.2319117132,0.16467672995932475,260968.32957354464,0.19204207059720474,68104469040.40622
0,Mexico // Beer // Ale  // Monterrey // Fancy Beer Ale 330 ml,moving_average,16477.14035087719,0.011990264670618258,0.17753315231553357,231225.61988304096,0.16826077353148453,259922.99968179959,0.1891435949321077,67559965763.58479
0,Mexico // Beer // Ale  // Monterrey // Fancy Beer Ale 500 ml,simple_ex_smoothing,52223.39549981151,0.03078854813870866,0.16995875126646998,276817.8547791612,0.16319926664961934,322408.62470720155,0.19007751922542757,103947321285.58914
0,Mexico // Beer // Ale  // Monterrey // Fancy Beer Ale 500 ml,moving_average,20984.66081871346,0.012229363822501041,0.1722250724781914,284971.6549707603,0.1660747380119593,319815.61900301656,0.18638097583252022,102282030158.28265
0,Mexico // Beer // Ale  // Puebla // Fancy Beer Ale 1 pint,simple_ex_smoothing,68770.7465901493,0.029473034240779364,0.17236979178525763,387182.60054105,0.16593459587095624,446304.4687397044,0.1912724165606531,199187678817.0298
0,Mexico // Beer // Ale  // Puebla // Fancy Beer Ale 1 pint,moving_average,27985.13450292397,0.011853841532328862,0.1770973157100283,403577.02923976607,0.17094569083441064,444457.4500065003,0.1882616708413376,197542424866.2807
0,Mexico // Beer // Ale  // Puebla // Fancy Beer Ale 330 ml,simple_ex_smoothing,30097.444231238092,0.03073749845521473,0.17823656091613518,166229.15332525957,0.16976419340761528,194178.84765168553,0.1983082677676096,37705424875.336494
0,Mexico // Beer // Ale  // Puebla // Fancy Beer Ale 330 ml,moving_average,12557.187134502918,0.012656482345505054,0.18435631424494864,175397.53801169593,0.176784483619783,193448.57898272268,0.1949782621245287,37422352710.4347
0,Mexico // Beer // Ale  // Puebla // Fancy Beer Ale 500 ml,simple_ex_smoothing,36762.524270806556,0.03004455845428043,0.1718545184888437,201840.349885709,0.16495614245372256,233040.75448185884,0.19045500027917994,54307993249.474014
0,Mexico // Beer // Ale  // Puebla // Fancy Beer Ale 500 ml,moving_average,14009.280701754371,0.011333554858317671,0.17514943933817353,208344.34502923975,0.16855127069539352,231757.3230285983,0.18749244806212906,53711456777.382065
0,Mexico // Beer // Ale  // Tijuana // Fancy Beer Ale 1 pint,simple_ex_smoothing,103445.33322505628,0.02965150545490186,0.16916389508946636,565144.9717215478,0.16199280034561186,654106.8034977487,0.18749276402643986,427855710382.0424
0,Mexico // Beer // Ale  // Tijuana // Fancy Beer Ale 1 pint,moving_average,40794.20467836257,0.01156400464495154,0.1732102211422451,587805.0467836257,0.1666261260619003,648937.1974090175,0.18395536386324093,421119486181.0701
