PRDID;LOCID;KEYFIGUREDATE;CURRID;ZDIVISIONID;ZGROUPKEYID;ZSALESOFFICEID;ZVKORGID;ZVTWEGID;ZNETTO2REVENUE
898589;1050;2023-04-03;EUR;01;ZZ0072;2002;1070;01;-6,8
898589;1050;2023-04-04;EUR;01;ZZ0072;2002;1070;01;-10,2
898589;1050;2023-04-05;EUR;01;ZZ0072;2002;1070;01;-60,24
898589;1050;2023-04-06;EUR;01;ZZ0072;2002;1070;01;-1,44
898589;1050;2023-04-11;EUR;01;ZZ0072;2002;1070;01;-15,96
898589;1050;2023-04-13;EUR;01;ZZ0072;2002;1070;01;-35,44
898589;1050;2023-04-17;EUR;01;ZZ0072;2002;1070;01;-6,54
898589;1050;2023-04-18;EUR;01;ZZ0072;2002;1070;01;-7,98
898589;1050;2023-04-20;EUR;01;ZZ0072;2002;1070;01;-2,88
898589;1050;2023-04-21;EUR;01;ZZ0072;2002;1070;01;-3,4
898589;1050;2023-05-03;EUR;01;ZZ0072;2002;1070;01;-3,4
898589;1050;2023-05-04;EUR;01;ZZ0072;2002;1070;01;-1,44
898589;1050;2023-05-05;EUR;01;ZZ0072;2002;1070;01;-1,44
898589;1050;2023-05-09;EUR;01;ZZ0072;2002;1070;01;-36,88
898589;1050;2023-05-11;EUR;01;ZZ0072;2002;1070;01;-1,44
898589;1050;2023-05-12;EUR;01;ZZ0072;2002;1070;01;-3,4
898589;1050;2023-05-16;EUR;01;ZZ0072;2002;1070;01;-2,88
898589;1050;2023-05-17;EUR;01;ZZ0072;2002;1070;01;-5,1
898589;1050;2023-05-22;EUR;01;ZZ0072;2002;1070;01;-3,4
898589;1050;2023-05-24;EUR;01;ZZ0072;2002;1070;01;-3,4
898589;1050;2023-05-25;EUR;01;ZZ0072;2002;1070;01;-5,1
898589;1050;2023-05-30;EUR;01;ZZ0072;2002;1070;01;-1,7
898589;1050;2023-06-01;EUR;01;ZZ0072;2002;1070;01;-3,4
898589;1050;2023-06-06;EUR;01;ZZ0072;2002;1070;01;-48,6
898589;1050;2023-06-07;EUR;01;ZZ0072;2002;1070;01;-6,28
898589;1050;2023-06-09;EUR;01;ZZ0072;2002;1070;01;-2,88
898589;1050;2023-06-12;EUR;01;ZZ0072;2002;1070;01;-3,4
898589;1050;2023-06-13;EUR;01;ZZ0072;2002;1070;01;-35,7
898589;1050;2023-06-16;EUR;01;ZZ0072;2002;1070;01;-6,8
898589;1050;2023-06-21;EUR;01;ZZ0072;2002;1070;01;-37,4
898589;1050;2023-06-27;EUR;01;ZZ0072;2002;1070;01;-6,8
898589;1050;2023-06-30;EUR;01;ZZ0072;2002;1070;01;-2,88
898589;1050;2023-07-05;EUR;01;ZZ0072;2002;1070;01;-1,44
898589;1050;2023-07-06;EUR;01;ZZ0072;2002;1070;01;-1,44
898589;1050;2023-07-11;EUR;01;ZZ0072;2002;1070;01;-8,5
898589;1050;2023-07-12;EUR;01;ZZ0072;2002;1070;01;-3,4
898589;1050;2023-07-14;EUR;01;ZZ0072;2002;1070;01;-6,8
898589;1050;2023-07-19;EUR;01;ZZ0072;2002;1070;01;-1,44
898589;1050;2023-07-21;EUR;01;ZZ0072;2002;1070;01;-3,4
898589;1050;2023-07-28;EUR;01;ZZ0072;2002;1070;01;-1,7
898589;1050;2023-07-31;EUR;01;ZZ0072;2002;1070;01;-3,4
898589;1050;2023-08-02;EUR;01;ZZ0072;2002;1070;01;-9,68
898589;1050;2023-08-03;EUR;01;ZZ0072;2002;1070;01;-2,88
898589;1050;2023-08-04;EUR;01;ZZ0072;2002;1070;01;-3,4
898589;1050;2023-08-07;EUR;01;ZZ0072;2002;1070;01;-4,58
898589;1050;2023-08-08;EUR;01;ZZ0072;2002;1070;01;-4,84
